,id,registration_date,flag_internal,test_user,flag_on2
0,201114848,2015-12-16,0,0,0
1,79394233,2005-03-21,0,0,0
2,19524979,2007-06-09,0,0,0
3,171724486,2014-11-26,0,0,0
4,74937266,2004-08-03,0,0,0
5,159590121,2014-05-26,0,0,0
6,133167273,2013-02-07,0,0,0
7,321420210,2018-05-14,0,0,0
8,158043616,2014-04-30,0,0,0
9,45790119,2008-02-27,0,0,0
10,193054976,2015-09-22,1,0,0
11,250272216,2017-10-15,0,0,0
12,244903188,2017-02-22,0,0,0
13,102979606,2012-02-16,0,0,0
14,222237001,2016-07-22,0,0,0
15,167086628,2015-01-14,0,0,0
16,264717561,2017-07-17,0,0,0
17,275132089,2017-09-26,0,0,0
18,41008333,2007-10-24,0,0,0
19,289863242,2017-12-11,0,0,0
20,311078705,2018-03-28,0,0,0
21,256980840,2017-05-17,0,0,0
22,165636903,2014-08-29,0,0,0
23,169283917,2014-10-21,0,0,0
24,297590522,2018-01-22,0,0,0
25,677370581,2020-11-24,0,0,0
26,78429260,2009-06-04,0,0,0
27,136926885,2013-04-20,0,0,0
28,259259140,2017-06-04,0,0,0
29,486750693,2019-11-06,0,0,0
30,349885125,2018-08-29,0,0,0
31,82251427,2005-06-30,0,0,0
32,181906098,2015-04-24,0,0,0
33,319410279,2018-05-06,0,0,0
34,45588212,2008-02-28,0,0,0
35,79526718,2009-06-15,0,0,0
36,436897509,2019-05-17,0,0,0
37,142772691,2013-07-25,0,0,0
38,42559478,2007-12-07,0,0,0
39,244486090,2017-02-18,0,0,0
40,568704081,2020-05-15,0,0,0
41,448539688,2019-07-01,0,0,0
42,540654485,2020-03-30,0,0,0
43,237885893,2016-12-14,0,0,0
44,163114789,2014-07-23,0,0,0
45,96383161,2006-07-17,0,0,0
46,266959224,2017-08-02,0,0,0
47,157060076,2014-04-11,0,0,0
48,150791514,2013-12-12,0,0,0
49,270669029,2017-08-28,0,0,0
50,50058498,2013-02-09,0,0,0
51,106165926,2012-03-19,0,0,0
52,56979190,2008-10-11,0,0,0
53,261278739,2017-06-19,0,0,0
54,27281238,2003-08-26,0,0,0
55,261630957,2017-06-22,0,0,0
56,161472600,2014-06-26,0,0,0
57,308726247,2018-07-18,0,0,0
58,399712329,2019-01-30,0,0,0
59,29530363,2010-06-15,0,0,0
60,131798113,2013-01-13,0,0,0
61,422324146,2019-04-02,0,0,0
62,260821090,2017-06-15,0,0,0
63,29563319,2007-07-12,0,0,0
64,156442808,2014-03-31,0,0,0
65,84759913,2009-08-27,0,0,0
66,56635304,2008-10-02,0,0,0
67,101301323,2012-01-29,0,0,0
68,459842002,2019-08-09,0,0,0
69,206216344,2016-02-16,0,0,0
70,199573243,2015-11-27,0,0,0
71,762700,2000-10-24,0,0,0
72,164975282,2014-08-20,0,0,0
73,76256765,2004-10-15,0,0,0
74,565671101,2020-05-09,0,0,0
75,443970373,2019-06-13,0,0,0
76,176458609,2015-02-03,0,0,0
77,695294271,2020-12-30,1,0,0
78,200618226,2015-12-10,0,0,0
79,36183763,2007-08-28,0,0,0
80,175802218,2015-01-25,0,0,0
81,224563919,2016-08-09,0,0,0
82,327795275,2018-06-12,0,0,0
83,27067440,2010-04-22,0,0,0
84,305204481,2018-03-01,0,0,0
85,94318681,2006-05-23,0,0,0
86,208082408,2016-03-08,0,0,0
87,210534601,2016-04-06,0,0,0
88,153145739,2014-01-29,0,0,0
89,38721499,2007-09-11,0,0,0
90,86792417,2005-11-03,0,0,0
91,185876509,2015-06-18,0,0,0
92,200995886,2015-12-15,0,0,0
93,282732529,2017-11-09,0,0,0
94,538724187,2020-03-23,0,0,0
