"CUS_CUST_ID","sit_site_id","cus_nickname","flag_on","flag_ca","flag_mia","flag_up","flag_trusted_seller","flag_gmv_high","flag_gmv_low","flag_tpv_high","flag_tpv_low","flag_repu_ml","flag_repu_glg","flag_repu_yor","active_0_30","active_31_90","active_91_180","active_181_365","inactive","last_transaction","tpv_approved","gmv_not_refund","count_orders","cashout","gmv_claims_seller","count_claims_seller"
"201114848","MCO   ","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","2020-09-26","0.0000","0.00","0","0.00","0.00","0"
"79394233","MLB   ","TOROFFROAD","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","104565.5113","149395.80","3147","99.64","17579.06","224"
"19524979","MLB   ","SJ ELETROIMPORTS","1","1","0","1","1","1","0","1","0","0","0","1","1","0","0","0","0","2021-03-21","67016.5128","102103.22","2389","1266.31","18153.92","231"
"171724486","MLB   ","MICHELINI PARTS","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","89751.3989","133802.14","5694","373.52","13131.80","460"
"74937266","MLM   ","SKP_MX","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","63727.4154","109327.71","2092","361.75","6433.09","125"
"159590121","MLM   ","GRUPODISMARC.COM","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","69523.5865","126612.84","3308","402.16","5892.14","127"
"133167273","MLM   ","ACCESORIOSEXCLUSIVOSMX","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-22","420357.1841","841017.68","15851","3284.80","53763.51","942"
"321420210","MLB   ","SONICSOM2","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","87928.3974","103496.95","790","384.53","8240.27","51"
"158043616","MLB   ","OTIMANUTRI.COM.BR","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","134865.5982","114571.32","6339","253.84","2729.34","134"
"45790119","MCO   ","DIAGNOSTIQ MEDICAL","1","1","1","1","1","0","1","0","1","1","0","0","1","0","0","0","0","2021-03-21","6921.7530","12110.48","239","100.65","314.09","5"
"193054976","MLM   ","MPOINTMEXMERCADOPAGO","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-22","508779.8856","79924.61","6747","94.46","11.96","1"
"250272216","MLM   ","DDTMEXICO","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","53598.2648","103043.27","4003","494.91","13483.08","416"
"244903188","MLB   ","GMCICAL","1","1","0","0","1","0","1","0","1","0","0","1","1","0","0","0","0","2021-03-17","371.0597","599.45","16","0.00","109.60","1"
"102979606","MCO   ","DIGISMART.CO","1","0","1","0","1","0","1","0","1","0","0","1","1","0","0","0","0","2021-03-17","202.6285","367.08","32","0.00","14.23","2"
"222237001","MLB   ","HRTECNOLGIALTDA","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-22","125110.9406","159275.45","6876","747.88","9154.10","422"
"167086628","MLB   ","YASMIN BAZAR","1","0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","0","2021-03-21","6763.5738","10365.96","650","0.00","899.52","48"
"264717561","MLM   ","BOOLCHANDSMX","1","1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","0","2021-03-18","9169.4807","9523.78","62","208.86","3442.50","13"
"275132089","MLB   ","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","0.0000","0.00","0","0.00","0.00","0"
"41008333","MLB   ","LOJA AUDIODRIVER","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","72345.3395","110142.34","1889","172.64","14146.56","156"
"289863242","MLB   ","EQUIBOMBASPISCINAS","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","237058.5712","321740.27","7060","1435.00","26651.53","377"
"311078705","MLB   ","MADEIRA-MADEIRA","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-22","1176043.4161","1444388.73","20684","257.02","137100.82","1627"
"256980840","MLM   ","EREZ_CALZADO","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-22","100432.5365","196235.28","10052","2376.89","18916.89","857"
"165636903","MLB   ","SAKURA ENXOVAIS","1","0","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","26590.0855","52369.27","5164","179.65","1563.57","140"
"169283917","MLM   ","TIENDAOF DELMAZ","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","116396.2930","133029.41","742","227.17","5986.98","29"
"297590522","MLB   ","YELLMOBILE","1","1","0","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","270190.1660","300410.41","1598","294.21","20808.44","97"
"677370581","MLB   ","","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","2021-03-21","45069.0895","0.00","0","0.00","0.00","0"
"78429260","MCO   ","LEORTIZ000","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","228656.3818","299507.12","1977","656.18","16732.49","91"
"136926885","MLB   ","LILABELLA COSMETICOS","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-22","37703.6543","67748.43","5773","310.99","2751.44","185"
"259259140","MLB   ","DZ PROFESSIONAL","1","1","1","1","1","0","1","1","0","1","0","0","1","0","0","0","0","2021-03-21","22725.6162","37884.53","2403","85.57","1994.64","103"
"486750693","MLB   ","SIBERIANOOFICIAL","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","1134050.2832","1524639.95","16388","1432.24","186865.67","1857"
"349885125","MLM   ","AGENTWALKERSMX","1","1","0","0","1","0","1","0","1","0","0","1","1","0","0","0","0","2021-03-20","3492.3934","4301.76","216","30.74","494.82","23"
"82251427","MCO   ","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","0.0000","0.00","0","0.00","0.00","0"
"181906098","MLM   ","MAQUILADORALACENTRALSADECVM","1","1","1","1","1","0","1","0","1","1","0","0","1","0","0","0","0","2021-03-21","14389.8997","21132.92","381","0.00","832.93","12"
"319410279","MLM   ","TECNOLIBYO","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-22","601694.3560","907787.18","9972","6884.61","39826.41","392"
"45588212","MLB   ","BOCA SOM","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","91072.1412","121607.28","2642","1105.59","9427.43","185"
"79526718","MLB   ","ABUMAZIMELETRONICOS","1","1","1","0","1","0","0","0","1","0","1","0","1","0","0","0","0","2021-02-26","1968.4345","0.00","0","0.00","0.00","0"
"436897509","MLA   ","01ALMACEN.COM.AR","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","529400.7951","716288.22","26858","4806.37","29205.12","894"
"142772691","MLB   ","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2020-06-16","0.0000","0.00","0","0.00","0.00","0"
"42559478","MLM   ","GRUPO_ADS","1","1","1","1","1","0","1","1","0","1","0","0","1","0","0","0","0","2021-03-21","21582.4593","26320.90","333","246.38","1121.48","14"
"244486090","MLB   ","EKIPEI ACESSÓRIOS","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","45448.6599","49439.59","820","527.92","4005.30","51"
"568704081","MLM   ","VENDEMOS VINO","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","74387.0630","264222.05","8251","2696.64","7368.76","217"
"448539688","MLM   ","ONEMARKET TIENDAOFICIAL","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","66937.8502","145492.64","7102","1497.51","6683.45","143"
"540654485","MLM   ","CHAROBREWINGCOMPANYSAPIDE","1","1","1","0","1","0","1","0","1","0","1","0","1","0","0","0","0","2021-03-05","994.2917","2265.23","84","0.00","14.18","1"
"237885893","MLM   ","MOYOYOS","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","2021-03-21","77752.7014","139973.52","5821","719.89","10483.92","319"
